"EventId","EventLocalName","EventLocalDesc","EventDI6Name","EventLangCode"
"STRUCTURE","Colapso estructural","Daño o colapso de cualquier tipo de estructuras (incluidas aquellas relacionadas con las redes eléctricas; acueducto o alcantarillado); debido a fenómenos como sobrecargas en escenarios públicos; puentes; falta de antenimiento; fatiga del material; diseños inadecuados. Incluye daños en estructuras; que sin llevarlas al colapso; las inhabilitan y que suelen ser reportadas como -fallas- (en el sentido de falla estructural). Los daños en estructuras inducidos por fenómenos naturales (p.e. sismos; deslizamientos; inundaciones; etc.) se reportan como efectos de ellos.  Palabras claves: falla estructural.","ESTRUCTURAL","es"
"EXPLOSION","Explosión","Liberación brusca de una gran cantidad de energía (térmica; química o nuclear); acompañada de estruendo y rotura violenta del recipiente que la contiene; produciendo calor; luz y gases. Incluye explosiones relacionadas con errores humanos o fallas en sistemas de infraestructura. En los inventarios (típicos) con DesInventar se excluyen actos de guerra o terrorismo.","EXPLOSION","es"
"FORESTFIRE","Incendio forestal","Incluye todos los incendios en campo abierto en áreas rurales; sobre bosques nativos; bosques cultivados; praderas; etc.","INCENDIOF","es"
"HAILSTORM","Granizada","Agua congelada que desciende con violencia de las nubes en granos más o menos duros y gruesos; pero no en copos como la nieve. Palabras claves: granizo.",,"es"
"FROST","Helada","Disminución de la temperatura con efectos nocivos en la población; cultivos; bienes y servicios. Palabras claves: ola de frío; friaje.",,"es"
"HURRICANE","Huracán","Depresión tropical que corresponde a una anomalía atmosférica violenta que gira a modo de torbellino caracterizado por fuentes vientos; acompañados por lluvia. Ocurren en el Mar Caribe y en el Océano Pacífico Tropical. Equivale a los ciclones en el Océano Índico y a los tifones en el Pacífico Occidental. Cuando el término -huracán- se haya usado en las fuentes para vientos huracanados; vendavales locales; torbellinos; borrascas; se reportarán como -vendaval-. Tormentas locales se reportarán como -tempestad-. Palabras claves: depresión tropical; ciclón; tifón.",,"es"
"FIRE","Incendio","Incendios urbanos; industriales o rurales; diferentes a incendios forestales. ",,"es"
"FLOOD","Inundación","Anegamiento o cubrimiento con agua de un terreno donde se localizen poblaciones; cultivos; bienes o infraestructura. Inundaciones por olas marinas en zonas litorales se reportarán con el término -marejada-.",,"es"
"LIQUEFACTION","Licuación","Comportamiento momentáneo como un líquido de suelos granulares saturados de agua; perdiendo su capacidad de soportar pesos. A pesar de ser un fenómeno secundario o inducido por -sismo-; se ha incluido por ser causa de pérdidas y daños en muchas zonas habitadas; en áreas marítimas y continentales. Palabras claves: licuefacción.",,"es"
"COASTLINE","Cambio línea de costa","Variación de la línea costera y/o de las zonas marítimas próximas a la costa. Incluye formación y destrucción de islas; playas y barras de arena; erosión de acantilados; con efectos sobre poblaciones; sobre la navegación; etc. ",,"es"
"RAIN","Lluvias","Precipitación pluvial. Incluye lluvias puntuales; persistentes o torrenciales en una región específica; así como períodos largos de precipitaciones. Palabras claves: aguacero; chaparrón; chubasco; diluvio; páramo (llovizna persistente cuando desemboca en desastres; por ejemplo en regiones áridas o semiáridas); turbonada.",,"es"
"SURGE","Marejada","Llegada de grandes olas al litoral; causados por huracanes; vendavales; tempestades; por coincidencia entre la dirección de los vientos y períodos de marea alta o por aumentos del nivel medio del mar durante el fenómeno El Niño. En algunos lugares se llama -creciente- o -puja- a la subida de las mareas hasta los niveles máximos quincenales y -cordonazo- a los máximos anuales. Excluye los reportes asociados con tsunami o maremoto. Palabras claves: creciente; puja; cordonazo; maretazo; mareta.",,"es"
"FOG","Neblina","Masas de nubes que descienden hasta o se generan desde la superficie terrestre y que implican efectos sobre el transporte o cualquier otra actividad; por disminución de la visibilidad. Excluye falta de visibilidad por contaminación generada por polución; así sea generada por incendios de cualquier tipo. Palabras claves: Niebla.",,"es"
"SNOWSTORM","Nevada","Caída y acumulación de nieve. Palabras claves: nieve.",,"es"
"HEATWAVE","Ola de calor","Aumento de la temperatura en una región con efectos sobre poblaciones humanas; cultivos; bienes y servicios.",,"es"
"PANIC","Pánico","Pánico o histeria colectiva en eventos masivos (estadios; salas de cine; etc.) que conduce a muertes; heridos y/o destrozos materiales. Cuando el pánico ha sido inducido por fenómenos naturales (p.e. sismos; deslizamientos; inundaciones; etc.) se reportará como efecto de ellos; siempre que hayan daños o efectos asociados. ",,"es"
"PLAGUE","Plaga","Proliferación de organismos que afectan a comunidades; a la agricultura; a la ganadería o a bienes perecederos almacenados. Por ejemplo: ratas; langostas; abejas africanizadas; etc.",,"es"
"SEDIMENTATION","Sedimentación","Depositación de material sólido producido por movimientos de masa en laderas por erosión superficial; en cauces de ríos; por inundaciones; avenidas torrenciales; aludes; marejadas o tsunami.",,"es"
"DROUGHT","Sequía","Temporada seca; sin lluvias; o con déficit de lluvias. En general se trata de períodos prolongados (meses; años; incluso decenios); que pueden ocurrir en áreas continentales restringidas o a escalas regionales. Excluye -Ola de calor- aunque una -Ola de calor- puede ocurrir durante un periodo de -Sequía-.",,"es"
"EARTHQUAKE","Sismo","Se denomina sismo o terremoto a las sacudidas bruscas del terreno causadas por el movimiento de las placas tectónicas. Palabras claves: terremoto; movimiento telúrico; temblor; terremoto; tremor; seismo.",,"es"
"STORM","Tempestad","Lluvia acompañada de vientos fuertes y/o de descargas eléctricas (rayos; relámpagos). En general y también en razón de connotaciones regionales; puede no ser posible diferenciar entre -tempestad- y -vendaval-. Palabras claves: tormenta.",,"es"
"ELECTRICSTORM","Tormenta eléctrica","Concentración de descargas estáticas atmosféricas (rayos); con efectos sobre humanos; animales y bienes domésticos; infraestructura (por ejemplo sobre redes eléctricas; conduciendo a apagones); o sobre la industria. Se diferencia de -Tempestad- en que no está acompañada de lluvias y vientos fuertes.",,"es"
"TORNADO","Tornado","Columna de vientos fuertes en remolino en forma de embudo que llega a la tierra desde nubes cúmulonimbus. Puede incluir lluvia; granizo y rayos. ",,"es"
"TSUNAMI","Tsunami","Aplicado a olas generadas por movimiento en el fondo del mar; generado por sismos; erupciones volcánicas o deslizamientos. Los términos marejada; maretazo; cordonazo o mareta; serán reportados como -Marejada-; si no corresponden a -Tsunami- en sentido estricto. Palabras claves: maremoto.",,"es"
"STRONGWIND","Vendaval","Perturbación atmosférica que genera vientos fuertes y destructivos; generalmente sin lluvia. Excluye -Tornado- y Ciclón. Palabras claves: temporal; vientos huracanados; torbellinos; borrasca; viento fuerte; ventisca; tromba; ráfaga; racha.",,"es"
"OTHER","Otro","Cuando el desastre no está relacionado con ninguno de los tipos de eventos anteriormente presentados. Antes de usar este tipo de evento agote las opciones de seleccionar alguno de los eventos de la lista; si el evento es recurrente en su inventario y no hay nada en la lista que le corresponda sugerimos crear un nuevo evento.",,"es"
