"LGName","LabelName","LGOrder","DictTranslation(eng)","DictTranslation(spa)","DictTranslation(por)","DictTranslation(fre)","DictTechHelp(eng)","DictTechHelp(spa)","DictTechHelp(por)","DictTechHelp(fre)","DictBasDesc(eng)","DictBasDesc(spa)","DictBasDesc(por)","DictBasDesc(fre)","DictFullDesc(eng)","DictFullDesc(spa)","DictFullDesc(por)","DictFullDesc(fre)"
"DB","InfoSources","11","Sources","Fuentes ","Fontes de informação","Sources*"," "," "," "," "," ","Lista de fuentes de información utilizadas para obtener los datos registrados en la Ficha."," "," "," "," "," "," "
"DB","InfoSynopsis","12","Synopsis","Sinopsis","Sinopse","Synopsis*"," "," "," "," "," ","Descripción corta de la base de datos"," "," "," "," "," "," "
"DB","InfoObservation","13","Observations","Observaciones","Observações","Observations*"," "," "," "," "," ","Observaciones generales"," "," "," "," "," "," "
"DB","InfoGeography","14","Geography","Geografía","Geografia","Geography*"," "," "," "," "," ","Información sobre la geografía utilizada"," "," "," "," "," "," "
"DB","InfoCartography","15","Carthography","Cartografía","Cartografia","Carthography*"," "," "," "," "," ","Información sobre el sitio donde se obtuvo la cartografía"," "," "," "," "," "," "
"DB","InfoAdminURL","16","Link","Enlace","Link","Link*"," "," "," "," "," ","Información adicional sobre esta base"," "," "," "," "," "," "
"DB","RegionLastUpdate","7","Last revised","Ultima revisión","Última revisão","Dernière révision","Date of the last revision of the database.","XXXXX","XXXXX","Date of the last revision of the database.","Date on which the basic information of the Region was last modified.","Ultima fecha en la cual se modificó la información base de la Región","Última data de modificação das informações da Região","Date on which the basic information of the Region was last modified."," "," "," "," "
"DB","PeriodBeginDate","8","Start date","Fecha inicial","Data inicial","Date de début","Input date in YYYY-MM-DD format","Escriba una fecha en formato AAAA-MM-DD","Escreva uma data em formato AAAA-MM-DD","Input date in YYYY-MM-DD format"," ","Fecha límite inferior a partir de la cual se iniciará el registro de datos.","Data inicial a partir da qual se iniciam os registros de dados."," "," "," "," "," "
"DB","PeriodEndDate","9","End date","Fecha final","Data final","Date de fin","Input date in YYYY-MM-DD format","Escriba una fecha en formato AAAA-MM-DD","Escreva uma data em formato AAAA-MM-DD","Input date in YYYY-MM-DD format"," ","Fecha límite superior en la cual se finalizará el registro de datos.","Data final na qual se encerram os registros de dados."," "," "," "," "," "
"DB","OptionAdminEMail","10","Administrator","Administrador","Administrador","Administrateur","Email address","XXXXX","XXXXX","Email address","Email address of the administrator of the Database","Correo electrónico del administrador de esta Base","E-mail do administrador do Banco de Dados","Email address of the administrator of the Database"," "," "," "," "
"DB","OptionOutOfRange","11","Restricted?","¿Restringir?","Restringir?","Restreint?","Select or deselect this option","Marque o desmarque esta opción","Marque ou desmarque esta opção","Select or deselect this option","This option enables limitation of the start and end dates of the database.","Esta opción le permite limitar las fechas de inicio y fin de la base de datos.","Esta opção permite limitar as datas de início e encerramento do banco de dados.","This option enables limitation of the start and end dates of the database."," "," "," "," "
"DB","OptionLanguageList","11","Other languages","Otros lenguajes","Outros idiomas","Other languages*"," "," "," "," ","Other languages used in this database","Otros lenguajes utilizados en esta base de datos","Other languages used in this database*","Other languages used in this database*"," "," "," "," "
"DB","GeoLimitMinX","12","MinLong","LongMin","LongMin","MinLong","Decimal degrees","Grados decimales","Graus decimais","Decimal degrees","Minimum longitude coordinates (left) of the geographic region. Use as reference the system WGS84.","Mínima coordenada de longitud (izquierda) de la región geográfica. Utilice como referencia el sistema WGS84. ","Mínima coordenada de longitude (esquerda) da região geográfica. Utilize o sistema WGS84 como referência.","Minimum longitude coordinates (left) of the geographic region. Use as reference the system WGS84."," "," "," "," "
"DB","GeoLimitMinY","13","MinLat","LatMin","LatMin","MinLat","Decimal degrees","Grados decimales","Graus decimais","Decimal degrees","Minimum latitude coordinates (bottom) of the geographic region. Use as reference the system WGS84.","Mínima coordenada de latitud (inferior) de la región geográfica. Utilice como referencia el sistema WGS84. ","Mínima coordenada de latitude (inferior) da região geográfica. Utilize o sistema WGS84 como referência.","Minimum latitude coordinates (bottom) of the geographic region. Use as reference the system WGS84."," "," "," "," "
"DB","GeoLimitMaxX","14","MaxLong","LongMax","LongMax","MaxLong","Decimal degrees","Grados decimales","Graus decimais","Decimal degrees","Maximum longitude coordinates (right) of the geographic region. Use as reference the system WGS84.","Maxima coordenada de longitud (derecha) de la región geográfica. Utilice como referencia el sistema WGS84. ","Máxima coordenada de longitude (direita) da região geográfica. Utilize o sistema WGS84 como referência.","Maximum longitude coordinates (right) of the geographic region. Use as reference the system WGS84."," "," "," "," "
"DB","GeoLimitMaxY","15","MaxLat","LatMax","LatMax","MaxLat","Decimal degrees","Grados decimales","Graus decimais","Decimal degrees","Maximum latitude coordinates (top) of the geographic region. Use as reference the system WGS84.","Máxima coordenada de latitud (superior) de la región geográfica. Utilice como referencia el sistema WGS84. ","Máxima coordenada de latitude (superior) da região geográfica. Utilize o sistema WGS84 como referência.","Maximum latitude coordinates (top) of the geographic region. Use as reference the system WGS84."," "," "," "," "
"DB","Permissions","16","Authorization","Roles","Perfil de usuário","Autorisation"," "," "," "," ","Authorization determines the access and role that the users of the database will have. Authorization may be added or edited here.","Los roles determinan el acceso y el papel de los usuarios en la base de datos. Aquí puede adicionar o editar los roles para esta base de datos.","Os perfis determinam o acesso e a função dos usuários no banco de dados. Neste campo é possível adicionar ou editar os perfis para o banco de dados.","Authorization determines the access and role that the users of the database will have. Authorization may be added or edited here."," "," "," "," "
"DB","UserName","17","Users","Usuarios","Usuários","Les utilisateurs","Select an item from the list","Seleccione un elemento de la lista","Selecione um elemento da lista","Select an item from the list","Names of the people who have some role in the database.","Nombre de las personas que tienen algún rol en la base de datos.","Nome dos usuários que possuem cadastro no banco de dados.","Names of the people who have some role in the database."," "," "," "," "
"DB","Role","18","Roles","Permisos","Permissões","Rôles","Select an item from the list","Seleccione un elemento de la lista","Selecione um elemento da lista","Select an item from the list","Determines the level of access of a user; according to 4 roles: \n-Feeder\n-Observer\n-Supervisor\n-Administrator","Determinan el nivel de acceso de un usuario según 4 roles:\n- Alimentador\n- Observador\n- Supervisor\n- Administrador","Determinam o nível de acesso de um usuário de acordo com quatro perfis:\n-Atualizador\n-Visualizador\n-Supervisor\n-Administrador","Determines the level of access of a user; according to 4 roles: \n-Feeder\n-Observer\n-Supervisor\n-Administrator"," "," "," "," "
"DB","RoleAdmin","19","Administrator","Administrador","Administrador","Administrateur"," "," "," "," ","The Administrator has access to the structural configuration of the database and the records. He/she may assign roles; assign descriptions in the database logs; edit lists of events; causes and geography.","Tiene acceso a la configuración de la estructura de la base de datos y a las fichas. Puede asignar roles; asignar descripciones de la base de datos; bitácoras; editar listados de eventos; causas y geografía.","Possui acesso à configuração da estrutura do banco de dados e aos formulários. Pode criar perfis; criar descrições no banco de dados; relatórios; editar listas; causas e localização de eventos.","The Administrator has access to the structural configuration of the database and the records. He/she may assign roles; assign descriptions in the database logs; edit lists of events; causes and geography."," "," "," "," "
"DB","RoleObserver","20","Observer","Observador","Visualizador","Observateur"," "," "," "," ","The Observer may see the entire structure of the database in read-only mode. This role enables external users to see the region during the construction process of the database. ","Puede ver toda la estructura de la base en modo de lectura únicamente. Este rol proporciona visibilidad de la región para usuarios externos durante el proceso de construcción de la base de datos.","Pode visualizar toda a estrutura do banco de dados somente no modo leitura. Durante o processo de construção do banco de dados este perfil possibilita a visualização das regiões para usuários externos.","The Observer may see the entire structure of the database in read-only mode. This role enables external users to see the region during the construction process of the database. "," "," "," "," "
"DB","RoleSupervisor","21","Supervisor","Supervisor","Supervisor","Superviseur"," "," "," "," ","The Supervisor has access to the disaster records and may authorise the publication and deletion of records.","Tiene acceso a la ficha de desastres y puede autorizar la publicación y eliminación de fichas.","Possui acesso aos formulários de desastres; podendo autorizar a publicação e exclusão de formulários.","The Supervisor has access to the disaster records and may authorise the publication and deletion of records."," "," "," "," "
"DB","RoleUser","22","Feeder","Alimentador","Atualizador","Engraissement"," "," "," "," ","The Feeder may access disaster records in order to create and update data.","Tiene acceso a la ficha de desastres para crear y actualizar datos.","Possui acesso aos formulários de desastres para criação e atualização de dados.","The Feeder may access disaster records in order to create and update data."," "," "," "," "
"DB","RoleNone","23","None","Ninguno","Nenhum","Aucun"," "," "," "," ","Deactivate all roles for this User.","Desactivar cualquier rol para este usuario","Desativar qualquer perfil para este usuário","Deactivate all roles for this User."," "," "," "," "
"DB","Log","24","Log","Bitácora","Relatório","Connexion"," "," "," "," ","History of the construction of the database. Contains description of the credits; methodology (additional criteria of the user); landmarks and maintenance","Historia de la construcción de la base de datos. Contiene descripción de los créditos; metodología (criterios adicionales del usuario); hitos y mantenimiento. ","Histórico da construção do banco de dados. Contém descrição dos créditos; metodologia (critérios adicionais do usuário); marco e manutenção.","History of the construction of the database. Contains description of the credits; methodology (additional criteria of the user); landmarks and maintenance"," "," "," "," "
"DB","LogType","25","Type","Tipo","Tipo","Type","Select an item from the list","Seleccione un elemento de la lista","Selecione um elemento da lista","Select an item from the list","The types of logs available are: credits; methodology; landmarks and maintenance.","Los tipos de bitácora disponibles son: créditos; metodología; hito y mantenimiento.","Os tipos de relatórios disponíveis são: créditos; metodologia; marco e manutenção.","The types of logs available are: credits; methodology; landmarks and maintenance."," "," "," "," "
"DB","LogNote","26","Content","Contenido","Conteúdo","Contenu","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Description of the log.","Descripción de la bitácora.","Descrição do relatório.","Description of the log."," "," "," "," "
"DB","LogCredits","27","Credits","Créditos","Créditos","Crédits","Select an option","Elija una opción","Escolha uma opção","Select an option","People and institutions who are authors or co-authors of the database.","Personas e instituciones autores o coautoras de la base de datos.","Pessoas e instituições autoras ou co-autoras do banco de dados.","People and institutions who are authors or co-authors of the database."," "," "," "," "
"DB","LogMethodology","28","Methodology","Metodología","Metodologia","Méthodologie","Select an option","Elija una opción","Escolha uma opção","Select an option","Additional criteria of the DesInventar methodology taken into account by the user of the database (eg. lists of magnitude; references to equivalent geographical effects; personalised events).","Criterios adicionales a la metodología de DesInventar asumidos por el usuario en la base de datos. (p.e. listados de magnitudes; referencias de equivalencias en efectos o geografía; eventos personalizados).","Critérios adicionais à metodologia de DesInventar assumidos pelo usuário no banco de dados. (ex. listas de magnitudes; referências de equivalências em efeitos ou localização; eventos personalizados).","Additional criteria of the DesInventar methodology taken into account by the user of the database (eg. lists of magnitude; references to equivalent geographical effects; personalised events)."," "," "," "," "
"DB","LogStaff","29","Landmarks","Hito","Marco","Repères","Select an option","Elija una opción","Escolha uma opção","Select an option","Occurrence that affects the interpretation of the database analysis (eg; currency change; hyperinflation; socio-political conflicts). This should include temporal information about the occurrence.","Acontecimiento que afecta la interpretación del análisis de la base de datos (p.e. cambio de moneda; hiperinflación; conflictos sociopolíticos). Debe incluir información temporal del acontecimiento. ","Acontecimento que afeta a interpretação da análise do banco de dados (ex. mudança de moeda; hiperinflação; conflitos sócio-políticos). Deve incluir informação temporal do acontecimento.","Occurrence that affects the interpretation of the database analysis (eg; currency change; hyperinflation; socio-political conflicts). This should include temporal information about the occurrence."," "," "," "," "
"DB","LogSupport","30","Maintenance","Mantenimiento","Manutenção","Entretien","Select an option","Elija una opción","Escolha uma opção","Select an option","General matters to do with maintenance and updating of the database: revision; quality control tests; changes to the structure of the database.","Asuntos generales del mantenimiento y actualización de la base de datos: revisión; pruebas de control de calidad; cambios en la estructura de la base.","Assuntos gerais de manutenção e atualização do banco de dados: revisão; testes de controle de qualidade; mudanças na estrutura do banco de dados.","General matters to do with maintenance and updating of the database: revision; quality control tests; changes to the structure of the database."," "," "," "," "
"DB","Geograph","31","Administration of geography","Administración de geografía","Administração de localização","Administration de la géographie"," "," "," "," ","Management of the geographic fields: levels and elements.","Gestión de los campos de geografía: niveles y elementos.","Gestão dos campos de localização: níveis e elementos.","Management of the geographic fields: levels and elements."," "," "," "," "
"DB","GeoLev","32","Levels","Niveles","Níveis","Niveaux","Input or edit a geographic level","Ingrese o edite un nivel geográfico","Insira ou edite um nível geográfico","Input or edit a geographic level","Geographic levels; by hierarchical order. The use of political-administrative divisions is suggested. Example: Highest level – State; following level: Province.","Niveles geográficos; según orden jerárquico. Se sugiere el uso de la división politico-administrativa. Ejemplo: Nivel superior: Departamento; siguiente nivel: Provincia.","Níveis geográficos conforme nível hierárquico. Sugere-se o uso da divisão político-administrativa. Exemplo: Nível superior: Estado. Nível seguinte: Município.","Geographic levels; by hierarchical order. The use of political-administrative divisions is suggested. Example: Highest level – State; following level: Province."," "," "," "," "
"DB","LevName","33","Name","Nombre","Nome","Nom","Input a name – max 20 characters","Ingrese un nombre – max 20 caracteres","Insira um nome – max 20 caracteres","Input a name – max 20 characters","Name of the geographic level.","Nombre de los niveles geográficos.","Nome dos níveis geográficos.","Name of the geographic level."," "," "," "," "
"DB","LevDesc","34","Description ","Descripción","Descrição","Description","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Text describing the level. This may include synonyms used in the region or in past times.","Texto con la descripción del nivel. Puede incluir sinónimos utilizados en la misma región o en épocas pasadas.","Texto com a descrição do nível. Podem ser usados sinônimos na mesma região ou em períodos anteriores.","Text describing the level. This may include synonyms used in the region or in past times."," "," "," "," "
"DB","LevHaveMap","35","Map?","¿Tiene mapa?","Possui mapa?","Carte?","Select or deselect this option","Marque o desmarque esta opción","Marque ou desmarque esta opção","Select or deselect this option","If there is a map for this level; select this option in order to input the necessary data to associate the map in the Database.","Si posee un mapa para este nivel; marque esta opción para ingresar los datos necesarios para asociarla a la Base de Datos.","Caso haja um mapa para este nível; selecione esta opção para associá-lo ao Banco de Dados.","If there is a map for this level; select this option in order to input the necessary data to associate the map in the Database."," "," "," "," "
"DB","LevLayerFile","36","Map Name","Nombre Mapa","Nome do mapa","Plan Nom","Input a name","Ingrese un nombre","Insira um nome","Input a name","Name of the layer of the map in the database which contains the geographic elements. In Shape format; this is the name of the file (without the extension).","Nombre de la capa o Layer del mapa de la base de datos que contiene los elementos geográficos. En formato Shape; es el nombre del archivo (sin la extensión).","Nome do plano de informação ou Layer do mapa do banco de dados que contém os elementos geográficos. Em formato Shape é o mesmo nome do arquivo (sem a extensão).","Name of the layer of the map in the database which contains the geographic elements. In Shape format; this is the name of the file (without the extension)."," "," "," "," "
"DB","LevLayerCode","37","Column Code","Columna Código","Coluna Código","Colonne Code","Input a value","Ingrese un valor","Insira um valor","Input a value","Header of the column which contains the code for the geographic elements.","Encabezado de la columna que contiene el código de los elementos geográficos","Cabeçalho da coluna que contém o código dos elementos geográficos","Header of the column which contains the code for the geographic elements."," "," "," "," "
"DB","LevLayerName","38","Column Name","Columna Nombre","Coluna Nome","Le nom d'une colonne","Input a value","Ingrese un valor","Insira um valor","Input a value","Header of the column which contains the name of the geographic elements.","Encabezado de la columna que contiene el nombre de los elementos geográficos","Cabeçalho da coluna que contém o código dos elementos geográficos","Header of the column which contains the name of the geographic elements."," "," "," "," "
"DB","GeoEle","39","Elements","Elementos","Elementos","Éléments","Input or edit a geographic element","Ingrese o edite un elemento geográfico","Insira ou edite um elemento geográfico","Input or edit a geographic element","List of geographic items which comprise each level.","Listado de unidades geográficas que componen cada nivel.","Listas de unidades geográficas que compõem cada nível.","List of geographic items which comprise each level."," "," "," "," "
"DB","EleCode","40","Code","Código","Código","Code","Input a value","Ingrese un valor","Insira um valor","Input a value","Official code or code used commonly in the region. This should correspond to cartography.","Código oficial o comúnmente utilizado en la región. Debe corresponder con la cartografía.","Código oficial ou comumente utilizado na região. Deve corresponder com a cartografia.","Official code or code used commonly in the region. This should correspond to cartography."," "," "," "," "
"DB","EleName","41","Name","Nombre","Nome","Nom","Input text","Ingrese un texto","Insira um texto","Input text","Official name or name commonly used in the region. This name should correspond to that assigned in associated cartography.","Nombre oficial o comunmente utilizado en la región. Este nombre debe corresponder al asignado en la cartografía asociada.","Nome oficial ou comumente utilizado na região. Este nome deve corresponder com o designado na cartografia.","Official name or name commonly used in the region. This name should correspond to that assigned in associated cartography."," "," "," "," "
"DB","EleParent","42","Parent","Padre","Nível superior","Parent","Select an element from the list; if applicable","Seleccione un elemento de la lista; si el caso aplica","Selecione um elemento da lista; caso se aplique","Select an element from the list; if applicable","Element of the highest level to which the current geographical element belongs.","Elemento del nivel superior al cual pertenece el actual elemento geográfico.","Elemento de nível superior ao qual pertence o atual elemento geográfico.","Element of the highest level to which the current geographical element belongs."," "," "," "," "
"DB","EleActive","43","Activate","Activar","Ativar","Activer","Select or deselect this option","Marque o desmarque esta opción","Marque ou desmarque esta opção","Select or deselect this option","Indicates whether the element present will be visible or not in the lists. This may occur because the geographic element has been detached and currently does not actually exist.","Indica si el presente elemento estará disponible o nó para visualizarse en los listados. Esto puede ocurrir porque el elemento geográfico se desagregó y en la actualidad no existe como tal.","Indica se o presente elemento estará disponível ou não para visualização nas listas. Isto pode ocorrer porque o elemento geográfico se desagregou e atualmente não existe como tal.","Indicates whether the element present will be visible or not in the lists. This may occur because the geographic element has been detached and currently does not actually exist."," "," "," "," "
"DB","Event","44","Administration of events","Administración de eventos","Administração de eventos","Administration des événements"," "," "," "," ","Management of the predefined event fields by DesInventar and personalised by the database.","Gestión de los campos de eventos predefinidos por DesInventar y personalizados de la base","Gestão dos campos de eventos pré-definidos por DesInventar e personalizados no banco de dados.","Management of the predefined event fields by DesInventar and personalised by the database."," "," "," "," "
"DB","EvePredefName","45","Predefined event","Evento predefinido","Evento pré-definido","Pré-événement","Input a name","Ingrese un nombre","Insira um nome","Input a name","Name of the predefined event. Only the Administrator of the database may edit this name in order to approximate the best-known local terminology; always taking into account the definition. ","Nombre del evento predefinido. Sólo el administrador de la base de datos podrá editar este nombre para asemejarlo al término local más reconocido siempre que sea fiel a la definición.","Nome do evento pré-definido. Somente o administrador do banco de dados poderá editar este nome de modo a assemelhar-se ao termo local conhecido; com a condição de que seja fiel à definição.","Name of the predefined event. Only the Administrator of the database may edit this name in order to approximate the best-known local terminology; always taking into account the definition. "," "," "," "," "
"DB","EvePersonName","46","Personalised event","Evento personalizado","Evento personalizado","Événement personnalisé","Input a name","Ingrese un nombre","Insira um nome","Input a name","Personalised name of the event. Only the Administrator of the database may create this type of event. These events may only be consulted in the database where they were created.","Nombre del evento personalizado. Sólo el administrador de la base de datos podrá crear estos eventos. Estos eventos sólo podrán ser consultados en la base de datos donde se crearon. ","Nome do evento pré-definido. Somente o administrador do banco de dados poderá criar estes eventos. Estes somente poderão ser consultados no banco de dados onde foram criados.","Personalised name of the event. Only the Administrator of the database may create this type of event. These events may only be consulted in the database where they were created."," "," "," "," "
"DB","EvePredefDef","47","Definition","Definición","Definição","Définition","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Descriptive text of the official DesInventar event for the base. In contrast to the name; the description may not be altered by the Administrator of the database. This is in order to guarantee comparability between databases.","Texto descriptivo del evento oficial de DesInventar para la base. A diferencia del nombre; la descripción no podrá ser alterada por el Administrador de la base de datos; con el fin de garantizar la comparabilidad entre bases de datos.","Texto descritivo do evento oficial de DesInventar para o banco de dados. A diferença do nome; a descrição não poderá ser alterada pelo Administrador do banco de dados; a fim de garantir a comparação entre os bancos de dados.","Descriptive text of the official DesInventar event for the base. In contrast to the name; the description may not be altered by the Administrator of the database. This is in order to guarantee comparability between databases."," "," "," "," "
"DB","EvePersonDef","48","Definition","Definición","Definição","Définition","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Text describing the event.","Texto descriptivo del evento.","Texto descritivo do evento.","Text describing the event."," "," "," "," "
"DB","EveActive","49","Active","Activo","Ativar","Active","Select or deselect this option","Marque o desmarque esta opción","Marque ou desmarque esta opção","Select or deselect this option","Indicates whether the event will be visible in the basic Record or not. This is useful where the event is not applicable in the database.","Indica si el evento estará disponible o nó para visualizarse en la Ficha básica. Esto ser útil para los casos donde el evento no tiene aplicabilidad en la base de datos.","Indica se o evento estará disponível ou não para visualização no formulário básico. Isto será útil para os casos onde o evento não tem aplicabilidade no banco de dados.","Indicates whether the event will be visible in the basic Record or not. This is useful where the event is not applicable in the database."," "," "," "," "
"DB","Cause","50","Administration of Causes","Administración de causas","Administração de causas","Administration des causes"," "," "," "," ","Management of the predefined Cause fields by DesInventar and personalised in the database.","Gestión de los campos de causas predefinidas por DesInventar y personalizadas de la base de datos","Gestão dos campos de causas pré-definidas por DesInventar e personalizadas no banco de dados","Management of the predefined Cause fields by DesInventar and personalised in the database."," "," "," "," "
"DB","CauPredefName","51","Predefined Cause","Causa predefinida","Causa pré-definida","Cause pré -","Input a name","Ingrese un nombre","Insira um nome","Input a name","Name of the predefined cause. Only the Administrator of the database may edit the name of the Cause in order to approximate the best-known local terminology; always taking into account the definition.","Nombre de la causa predefinida. Sólo el administrador de la base de datos podrá editar el nombre de la causa para asemejarlo al término local más reconocido siempre que coincida con la definición.","Nome da causa pré-definida. Somente o administrador do banco de dados poderá editar o nome da causa de modo a assemelhar-se ao termo local conhecido; com a condição de que coincida com a definição.","Name of the predefined cause. Only the Administrator of the database may edit the name of the Cause in order to approximate the best-known local terminology; always taking into account the definition."," "," "," "," "
"DB","CauPersonName","52","Personalised cause","Causa personalizada","Causa personalizada","Personnalisé cause","Input a name","Ingrese un nombre","Insira um nome","Input a name","Name of the Personalised Cause. Only the Administrator of the database may create a new Cause. These Causes may only be consulted in the database where they were created.","Nombre la causa personalizada. Sólo el administrador de la base de datos podrá crear una causa. Estas causas sólo podrán ser consultadas en la base de datos donde se crearon. ","Nome da causa personalizada. Somente o administrador do banco de dados poderá criar uma causa. Estas causas somente poderão ser consultadas no banco de dados onde foram criadas.","Name of the Personalised Cause. Only the Administrator of the database may create a new Cause. These Causes may only be consulted in the database where they were created."," "," "," "," "
"DB","CauPredefDef","53","Definition","Definición","Definição","Définition","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Descriptive text of the Predefined Cause. In contrast to the name; the definition may not be altered. This is in order to guarantee comparability between databases.","Texto descriptivo de la causa predefinida. A diferencia del nombre; la definición no podrá ser alterada con el fin de garantizar la comparabilidad entre bases de datos.","Texto descritivo da causa pré-definida. A diferença do nome; a definição não poderá ser alterada; a fim de garantir a comparação entre os bancos de dados.","Descriptive text of the Predefined Cause. In contrast to the name; the definition may not be altered. This is in order to guarantee comparability between databases."," "," "," "," "
"DB","CauPersonDef","54","Definition","Definición","Definição","Définition","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Descriptive text of the Cause.","Texto descriptivo de la causa.","Texto descritivo da causa.","Descriptive text of the Cause."," "," "," "," "
"DB","CauActive","55","Active","Activa","Ativar","Active","Select or deselect this option","Marque o desmarque esta opción","Marque ou desmarque esta opção","Select or deselect this option","This indicates whether the Cause will be visible or not in the basic Record. This may be useful in cases where the cause is not applicable in the database.","Indica si la causa estará disponible o nó para visualizarse en la Ficha básica. Esto puede ser útil en los casos donde la causa no tenga aplicabilidad para la base de datos.","Indica se a causa estará ou não disponível para visualização no formulário básico. Isto pode ser útil nos casos onde a causa não tenha aplicabilidade para o banco de dados.","This indicates whether the Cause will be visible or not in the basic Record. This may be useful in cases where the cause is not applicable in the database."," "," "," "," "
"DB","ExtraEffect","56","Administration of Additional Effects","Administración de efectos adicionales","Administração de efeitos adicionais","Administration d'autres effets"," "," "," "," ","Management of the Additional Effects fields and Groups of Effects.","Gestión de los campos de Efectos Adicionales y Grupos de Efectos","Gestão dos campos de Efeitos Adicionais e Grupos de Efeitos","Management of the Additional Effects fields and Groups of Effects."," "," "," "," "
"DB","EEFieldLabel","57","Label","Etiqueta","Rótulo","Label","Input a name","Ingrese un nombre","Insira um nome","Input a name","Visible name of the Additional Effect","Nombre visible del efecto adicional","Nome visível do efeito adicional","Visible name of the Additional Effect"," "," "," "," "
"DB","EEFieldDesc","58","Definition","Definición","Definição","Définition","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","Description of the Additional Effect field.","Descripción del campo del efecto adicional","Descrição do campo do efeito adicional","Description of the Additional Effect field."," "," "," "," "
"DB","EEFieldType","59","Type","Tipo","Tipo","Type","Select from the list","Seleccione de la lista","Selecione da lista","Select from the list","Type of data to be consigned.","Tipo de dato a consignar","Tipo de dado a inserir ","Type of data to be consigned."," "," "," "," "
"DB","EEFieldSize","60","Size","Tamaño","Tamanho","Taille","Numerical value","Valor numérico","Valor numérico","Numerical value","Maximum field length.","Longitud máxima del campo","Largura máxima do campo","Maximum field length."," "," "," "," "
"DB","EEFieldOrder","61","Order","Orden","Ordem","Ordre","Numerical value","Valor numérico","Valor numérico","Numerical value","Visualisation order","Orden de visualización","Ordem de visualização","Visualisation order"," "," "," "," "
