"Group","Key","Value(spa)","Value(eng)","Value(por)","Value(fre)"
"di8_geography","errchkstatus","Elemento no se puede desactivar porque se encuentra asignado","Unable to deactivate type of cause because it has been assigned.","Causa não foi possível desativar porque está atribuída",
"di8_geography","msginsgeo","Geografía creada exitosamente","Geography created successfully!","Geografia criada com sucesso!",
"di8_geography","errinsgeo","No se pudo crear elemento geográfico","Unable to create geographic element","Não foi possível criar elemento geográfico",
"di8_geography","msgupdgeo","Geografía actualizada exitosamente!","Geography updated successfully!","Geografia atualizada com sucesso!",
"di8_geography","errupdgeo","No se pudo actualizar elemento geográfico","Unable to update geographic element","Não foi possível atualizar elemento geográfico",
"di8_geography","errmsgfrmlev","NIVEL: Llene todos los campos requeridos e intente nuevamente.","LEVEL: Fill in all required fields and try again.","NÌVEL: Preencha todos os campos requeridos e tente novamente",
"di8_geography","errmsgfrmgeo","GEOGRAFIA: Llene todos los campos requeridos e intente nuevamente.","GEOGRAPHY: Fill in all required fields and try again.","GEOGRAFIA: Preencha todos os campos requeridos e tente novamente",
"di8_events","baddelem","Adicionar","Add","Adicionar",
"di8_events","bsave","Guardar","Save","Salvar",
"di8_events","bcancel","Cancelar","Cancel","Cancelar",
"di8_events","terror","Error","Error","Erro",
"di8_events","msginseve","Tipo de evento creado exitosamente","Type of event created successfully!","Evento criado com sucesso!",
"di8_events","errinseve","Error intentando ingresar Tipo de evento","Error entering Type of event","Erro tentando ingressar Evento",
"di8_events","msgupdeve","Tipo de evento actualizado exitosamente","Type of event updated successfully!","Evento atualizado com sucesso!",
"di8_events","errupdeve","Error actualizando Tipo de evento","Error updating Type of event","Erro atualizando Evento",
"di8_events","errmsgfrm","TIPO de EVENTO: Llene todos los campos requeridos e intente nuevamente.","Register all fields in the RECORD DESINVENTAR. Fill in all required fields and try again.","Registre todos os campos do FORMULÁRIO DESINVENTAR. Preencha todos os campos requeridos e tente de novo",
"di8_events","errchkname","Nombre de tipo de evento no se puede utilizar porque ya existe","Unable to use type of cause name because it already exists.","Nome de causa não foi possível utilizar porque já existe",
"di8_events","errchkstatus","Tipo de evento no se puede desactivar porque se encuentra asignado","Unable to deactivate type of cause because it has been assigned.","Causa não foi possível desativar porque está atribuída",
"di8_causes","baddelem","Adicionar","Add","Adicionar",
"di8_causes","bsave","Guardar","Save","Salvar",
"di8_causes","bcancel","Cancelar","Cancel","Cancelar",
"di8_causes","terror","Error","Error","Erro",
"di8_causes","msginscau","Causa creada exitosamente","Type of cause created successfully!","Causa criada com sucesso!",
"di8_causes","errinscau","Error ingresando Causa","Error entering Type of cause","Erro ingressando Causa",
"di8_causes","msgupdcau","Causa actualizada exitosamente","Type of cause updated successfully!","Causa atualizada com sucesso!",
"di8_causes","errupdcau","Error actualizando Causa","Error updating Type of cause","Erro atualizando Causa",
"di8_causes","errmsgfrm","CAUSA: Llene todos los campos requeridos e intente nuevamente.","Register all fields in the RECORD DESINVENTAR. Fill in all required fields and try again.","Registre todos os campos do FORMULÁRIO DESINVENTAR. Preencha todos os campos requeridos e tente de novo",
"di8_causes","errchkname","Nombre de causa no se puede utilizar porque ya existe","Unable to use type of cause name because it already exists.","Nome de causa não foi possível utilizar porque já existe",
"di8_causes","errchkstatus","Causa no se puede desactivar porque se encuentra asignada","Unable to deactivate type of cause because it has been assigned.","Causa não foi possível desativar porque está atribuída",
"di8_extraeffects","baddoption","Adicionar","Add","Adicionar",
"di8_extraeffects","bsave","Guardar","Save","Salvar",
"di8_extraeffects","bcancel","Cancelar","Cancel","Cancelar",
"di8_extraeffects","terror","Error","Error","Erro",
"di8_extraeffects","msgupdeef","Campo de efectos actualizado exitosamente","Effect field updated successfully!","Campo de efeitos atualizado com sucesso!",
"di8_extraeffects","errupdeef","No se pudo actualizar el campo de efectos","Unable to update effect field","Não foi possível atualizar o campo de efeitos",
"di8_extraeffects","errmsgfrmeef","EFECTOS: Llene todos los campos requeridos e intente nuevamente.","EFFECTS: Fill in all required fields and try again.","EFEITOS: Preencha todos os campos requeridos e tente de novo",
"di8_extraeffects","typeinteger","Numérico","Integer","Numérico",
"di8_extraeffects","typefloat","Moneda","Float","Moeda",
"di8_extraeffects","typedate","Fecha","Date","Data",
"di8_extraeffects","typetext","Texto","Text","Texto",
"di8_import","ttitle","Archivos CSV de Fichas:","Methodological guide summarize","Resumo Guia metodológico",
"di8_import","tsuccess","Importación exitosa","Sucessfull importation","Importação bem sucedida",
"di8_import","tfail","No se realizó la importación","Can not import file","Não foi realizada a importação",
"di8_import","tfound1","Se encontraron","Exist some","Foram encontrados",
"di8_import","tfound2","errores.","errors.","erros",
"di8_import","tfile","Fila","Row","Fila",
"di8_import","tsend","Importar","Generate","Gerar",
"di8_input","ttitle","DesInventar8","Methodological guide summarize","Resumo Guia metodológico",
"di8_input","mprint","Imprimir","Print","Imprimir",
"di8_input","mloading","Un momento por favor..","One moment, please.","Um momento por favor",
"di8_input","bnew","Nueva","New","Nova",
"di8_input","tnewtitle","Crear una ficha","Create a data card","Criar um formulário",
"di8_input","tnewdesc","Ingrese un nuevo registro a la base de datos","Input a new register into the database","Ingresse um novo registro ao banco de dados",
"di8_input","bupdate","Editar","Edit","Atualizar",
"di8_input","tupdtitle","Editar una ficha","Edit a data card","Editar um formulário",
"di8_input","tupddesc","Edite un registro ya existente en la base de datos","Edit an existing record in the database","Edite um registro já existente no banco de dados",
"di8_input","bsave","Guardar","Save","Salvar",
"di8_input","tsavtitle","Guardar la ficha","Save data card","Salvar o formulário",
"di8_input","tsavdesc","Guarde un registro en la base de datos, recuerde incluir los campos obligatorios","Save register in the database. Remember to include all obligatory fields.","Salve um registro no banco de dados, lembre incluir os campos obrigatórios",
"di8_input","bcancel","Cancelar","Cancel","Cancelar",
"di8_input","tcantitle","Abandonar la ficha","Discard data card","Abandonar o formulário",
"di8_input","tcandesc","Abandone la actual ficha, no se guardará ni modificará la información.","Discard current record. Information will not be saved or modified.","Abandone o formulário atual, não será salva nem modificada a informação",
"di8_input","bclean","Limpiar","Clear","Limpar",
"di8_input","tclntitle","Limpiar la ficha","Clear data card","Limpar o formulário",
"di8_input","tclndesc","Limpia la actual ficha, la información será borrada de la actual forma","Clear current record, fill form with blank or default values.","Limpa o formulário atual, a informação será apagada da atual forma",
"di8_input","bexpsearch","Buscar","Search","Buscar",
"di8_input","texptitle","Buscar fichas","Search data card","Buscar formulários",
"di8_input","texpdesc","escriba el serial de la ficha que desea visualizar","Find datacard using a serial","Buscar utilizando múltiplos critérios",
"di8_input","bfirst","Primera","First","First*",
"di8_input","bprev","Anterior","Previous","Previous*",
"di8_input","bnext","Siguiente","Next","Next*",
"di8_input","blast","Última","Last","Last*",
"di8_input","ttotal","Total","Total","Total",
"di8_input","thelp","Definición","Definition","Definição",
"di8_input","tcardnot","La ficha deseada no existe","Datacard request not exists","Datacard request not exists*",
"di8_input","tdidescinfo","De click en el título deseado para ver la descripción de dicho elemento","Click on the title to see a description of the element","Selecione o título desejado para ver a descrição",
"di8_input","mgeography","Geografía","Geographic units","Unidades Geográficas",
"di8_input","mevents","Tipo de eventos","Types of events","Tipos de eventos",
"di8_input","mcauses","Tipo de causas","Types of causes","Tipos de causas",
"di8_input","tbaseffects","Efectos básicos","Basic effects","Efeitos básicos",
"di8_input","textraeffect","Efectos adicionales","Additional effects","Efeitos adicionais",
"di8_input","teffects","Personas y bienes","Persons and Property","Pessoas e bens",
"di8_input","tsectors","Sectores","Affected sectors","Setores",
"di8_input","tlosses","Pérdidas económicas","Economic Losses","As perdas econômicas",
"di8_input","tcreatedate","Creada:","Created:","Criada:",
"di8_input","tcreateby","Por:","By:","Por:",
"di8_input","tcreateupdate","Modificada:","Modified:","Modificada:",
"di8_input","tstatus","Estado","Status","Estado",
"di8_input","tsend","Buscar","Generate","Gerar",
"di8_input","tclean","Limpiar","Clean","Limpar",
"di8_input","tclose","Cerrar","Close","Fechar",
"di8_input","tsince","Desde","Since","Desde",
"di8_input","tuntil","Hasta","Until","Até",
"di8_input","tqueryresults","Resultados","Results","Resultados",
"di8_input","tqueryshowcard","Ver ficha","See data card","Ver formulário",
"di8_input","tcheckquit","¿Realmente desea salir de DesInventar?","Are you sure you want to quit DesInventar?","Realmente deseja sair de DesInventar?",
"di8_input","tmsgeditcard","Para editar esta ficha presione Actualizar","To edit this record, select Update","Para editar este formulário selecione Atualizar",
"di8_input","tmsgnewcard","Presione Nueva para ingresar una ficha","Select New to enter a record","Selecione Nova para ingressar um formulário",
"di8_input","tmsgsearchdup","Ingrese las palabras para ubicar fichas existentes","Type in words to search existing records","Ingresse as palavras para localizar formulários existentes",
"di8_input","tmsgsearchcards","Ingrese las palabras para realizar la búsqueda","Type in words to define your search","Ingresse as palavras para realizar a busca",
"di8_input","tmsgnewcardfill","Llene los campos y presione Listo para guardar","Fill in fields and select Ready to save.","Preencha os campos e selecione Pronto para Salvar",
"di8_input","tmsgeditcardfill","Edite los campos y presione Listo para guardar","Edit fields and select Ready to save","Edite os campos e selecione Pronto para Salvar",
"di8_input","tmsgviewcard","De click en la fila que desee visualizar","Click on the row you wish to see","Selecione a fila de deseje visualizar",
"di8_input","errmsgfrm","Registre todos los campos de la FICHA DESINVENTAR. Llene todos los campos requeridos e intente nuevamente.","Register all fields in the RECORD DESINVENTAR. Fill in all required fields and try again.","Registre todos os campos do FORMULÁRIO DESINVENTAR. Preencha todos os campos requeridos e tente de novo",
"di8_input","tstatpublished","Publicada","Published","Publicada",
"di8_input","tstatready","Por aprobar","Pending approval","Por aprovar",
"di8_input","tstatdraft","Borrador","Draft","Rascunho",
"di8_input","tstatrash","Para eliminar","Pending deletion","Para eliminar",
"di8_input","tstatdeleted","Eliminar!","Delete!","Eliminar!",
"di8_input","tdcerror","La ficha no fue guardada","Data card was not saved","O formulário não foi salvo",
"di8_input","tdisererr","Serial inválido (asignado o incorrecto)","No valid serial (assigned o incorrect)","Serial inválido (atribuído ou incorreto)",
"di8_input","tdiserok","Serial válido","Valid serial","Serial válido",
"di8_input","tdccreated","Ficha creada exitosamente","Data card created sucessfully","Formulário criado com sucesso!",
"di8_input","tdcupdated","Ficha actualizada exitosamente","Data card updated sucessfully","Formulário atualizado com sucesso!",
"di8_input","tdconuse","La ficha está siendo editada por otro usuario, por favor intente despues..","Data card is been edited by other user, please try later..","O formulário está sendo editado por outro usuário, por favor, tente depois",
"di8_input","teffhav","Hubo","There were","Houve",
"di8_input","teffhavnot","No hubo","There weren't any","Não houve",
"di8_input","teffdontknow","No sabe","Don't know","Não sabe",
"di8_index","twelcome","Bienvenido","Welcome","Welcome*",
"di8_index","tdititle","Sistema de inventario de efectos de desastres","Inventory system of the effects of disasters","Sistema de inventário de efeitos de desastres",
"di8_index","hlostconn","Comunicación fallida: Verifique su conexión a Internet","Failed communication. Check your internet connection.","Comunicação falida: Verifique sua conexão à Internet",
"di8_index","tdbnotavail","No hay bases de datos disponibles por el momento","There are no databases available at the moment.","Não há bancos de dados disponíveis no momento",
"di8_index","tmoreinfo","Mas información","More information","Mais informação",
"di8_index","talerdiwin","DesInventar está en uso. ¿Está seguro que desea salir?","DesInventar is being used. Are you sure you want to quit?","DesInventar está sendo usado. Tem certeza que deseja sair?",
"di8_index","tstartpage","Inicio","Home","Início",
"di8_index","tcopyright","(c) 1998-2010 Corporación OSSO - Colombia","(c) 1998-2010 Corporación OSSO - Colombia","(c) 1998-2010 Corporación OSSO - Colombia",
"di8_index","labelsoftwareversion","Versión de Software","Software Version","Versão do software",
"di8_index","ttitle","DesInventar 8","Methodological guide summarize","Resumo Guia metodológico",
"di8_index","tsubtitle","Diseño de consulta","Query design","Esquematização de consulta",
"di8_index","tsubtitlemsg","Acote su consulta seleccionando los campos de su interés.","Define your query by selecting the relevant fields","Limite sua consulta selecionando os campos de seu interesse",
"di8_index","tsubtitle2","Resultados","Results","Resultados",
"di8_index","tsubtitle2msg","Una vez diseñada su consulta, seleccione una de las herramientas de análisis Datos, Consolidados, Gráficos y Mapas.","Once you have designed your query, select one of the analysis tools: Data, Consolidated, Graphs and Maps","Una vez esquematizada sua consulta, selecione uma das ferramentas de análise Dados, Consolidados, Gráficos e Mapas",
"di8_index","minsert","Ingreso","Insert","Insert",
"di8_index","mconfig","Configuración","Configuration","Configuração",
"di8_index","mimport","Importación de fichas","Import data cards","Importação de formulários",
"di8_index","mbackdb","Respaldar base de datos","Backup database","Backup database*",
"di8_index","mfile","Archivo","File","Arquivo",
"di8_index","mprint","Imprimir","Print","Imprimir",
"di8_index","msearch","Consultas","Queries","Consultas",
"di8_index","mnewsearch","Nueva","New","Nova",
"di8_index","msavequery","Guardar","Save file","Save file",
"di8_index","mopenquery","Abrir","Open file","Open file",
"di8_index","mgotoqd","Mostrar/Ocultar","Show/Hide","Mostrar/Ocultar",
"di8_index","mquit","Salir","Quit","Sair",
"di8_index","mhelp","Ayuda","Help","Ajuda",
"di8_index","hotherdoc","Documentación software","Software documentation","Software documentation*",
"di8_index","hdbinfo","Información base de datos","Database information","Informação de banco",
"di8_index","mwebsite","Sitio web DesInventar","Website of DesInventar","Website of DesInventar*",
"di8_index","mabout","Acerca de","About","Acerca de",
"di8_index","mlang","Idioma","Language","Idioma",
"di8_index","mdatabases","Bases de datos","Databases","bancos de dados",
"di8_index","mdbfind","Buscar","Find","Find*",
"di8_index","mgeosection","Geografía","Geography","Geografia",
"di8_index","mmapsection","Mapa","Map","Mapa",
"di8_index","meffsection","Efectos","Effects","Efeitos",
"di8_index","mextsection","Efectos adicionales","Additional effects","Efeitos adicionais",
"di8_index","mevesection","Tipos de eventos","Types of events","Tipos de eventos",
"di8_index","mcausection","Tipos de causas","Types of causes","Tipos de causas",
"di8_index","mdcsection","Fichas","Data cards","Formulários",
"di8_index","madvsection","Consulta avanzada","Advanced query","Consulta avançada",
"di8_index","mreginfo","Ficha técnica","Technical info","Formulário técnico",
"di8_index","mgeolevel","Niveles Geográficos","Geographic levels","Níveis Geográficos",
"di8_index","mgeography","Unidades Geográficas","Geographic units","Unidades Geográficas",
"di8_index","mevents","Tipos de eventos","Types of events","Tipos de eventos",
"di8_index","mcauses","Tipos de causas","Types of causes","Tipos de causas",
"di8_index","meeffects","Efectos Adicionales","Additional Effects","Efeitos Adicionais",
"di8_index","tmapnotavail","Mapa no disponible","Map unavailable","Mapa não disponível",
"di8_index","bsavemsg","Le permite guardar el resultado desplegado (tablas e imágenes).","Enables you to save the displayed results (tables and images)","Permite Salvar o resultado obtido (tabelas e imagens).",
"di8_index","bprintmsg","Para imprimir el resultado en pantalla.","Screen print result","Para imprimir o resultado na tela",
"di8_index","bdata","Fichas","Data cards","Formulários",
"di8_index","tdatamsg","Para visualizar las fichas en un tabla.","To visualise records in a table format","Para visualizar os formulários numa tabela",
"di8_index","bthematic","Mapas","Maps","Mapas",
"di8_index","tthematicmsg","Para realizar mapas temáticos de los efectos.","To create thematic maps of effects","Para realizar mapas temáticos dos efeitos",
"di8_index","bgraphic","Gráficos","Graphs","Gráficos",
"di8_index","tgraphicmsg","Representa los datos en histogramas y gráficos comparativos.","Represents data in histograms and comparative graphs","Representa os dados em histogramas e gráficos comparativos",
"di8_index","bstatistic","Consolidados","Consolidated","Consolidados",
"di8_index","tstatisticmsg","Totaliza las variables de efectos y fichas según niveles de totalización: p. ej. Años, Tipos de eventos, Niveles geográficos.","Add variables of effects and reports according to levels: eg, Years, types of events, Geographic Levels","Totaliza as variáveis de efeitos e formulários segundo níveis de totalização, por exemplo: Anos, Eventos, Níveis geográficos",
"di8_index","gopttitle","Título","Title","Título",
"di8_index","goptsubtit","Subtítulo","Subtitle","Subtítulo",
"di8_index","ghistogram","Histograma","Histogram","Histograma",
"di8_index","gcomparative","Comparativo","Comparative","Comparativo",
"di8_index","gseaday","Días","Days","Dias",
"di8_index","gtendline","Línea de tendencia","Tendence line","Tendence line*",
"di8_index","glinearreg","Regresión Lineal","Linear regression","Linear regression*",
"di8_index","GHISTOANNUAL","Histograma multianual","Multi-annual histogram","Histograma multi-anual",
"di8_index","gseaweek","Semanas","Weeks","Semanas",
"di8_index","gseamonth","Meses","Months","Meses",
"di8_index","gperannual","Anual","Yearly","Anual",
"di8_index","gperweek","Semanal","Weekly","Semanal",
"di8_index","gpermonth","Mensual","Monthly","Mensal",
"di8_index","gperday","Diario","Daily","Diário",
"di8_index","gscalin","Lineal","Linear","Linear",
"di8_index","gscalog","Logarítmica","Logarithm","Logarítmica",
"di8_index","gfee2d","2D","2D","2D",
"di8_index","gfee3d","3D","3D","3D",
"di8_index","gkndbars","Barras","Bars","Barras",
"di8_index","gkndlines","Líneas","Lines","Linhas",
"di8_index","gkndpie","Pastel","Pie","Pizza",
"di8_index","gmodnormal","Normal","Normal","Normal",
"di8_index","gmodaccumul","Acumulado","Accumulated","Acumulado",
"di8_index","gmodovercome","Superpuesto","Superimposed","Superposto",
"di8_index","gshwval","Valores","Values","Valores",
"di8_index","gshwperce","Porcentaje","Percentage","Porcentagem",
"di8_index","gshwnone","Desactivar","Deactivate","Desativar",
"di8_index","ghoraxis","Eje horizontal","Horizontal axis","Horizontal",
"di8_index","gveraxis","Eje vertical","Vertical axis","Vertical",
"di8_index","mareaid","Identificación de Areas","Identification of areas","Identificação de áreas",
"di8_index","mareashownam","Mostrar nombres","Show names","Mostrar nomes",
"di8_index","mareashowcod","Mostrar códigos","Show codes","Mostrar códigos",
"di8_index","mareashowval","Mostrar valores","Show values","Mostrar valores",
"di8_index","mareanotshow","No mostrar identificación","Do not display identification","Não mostrar identificação",
"di8_index","mranlegcol","Rangos, Leyendas y Colores","Ranges, legends and colours","Intervalos, Legendas e Cores",
"di8_index","mrange","Límite rango","Define range","Limite intervalo",
"di8_index","mlegend","Leyenda","Legend","Legenda",
"di8_index","mcolor","Color","Colour","Cor",
"di8_index","mbetween","Entre","Between","Entre",
"di8_index","mrepreselev","Nivel de representación","Level of representation","Nível de representação",
"di8_index","mviewfields","Variable a representar","Variable to be represented","Variável a representar",
"di8_index","mcolorgrad","Gradiente de color","Color gradient","Variação gradativa de core",
"di8_index","mcoltransp","Transparencia","Transparency","Transparency",
"di8_index","savailfields","Campos disponibles","Available fields","Campos disponíveis",
"di8_index","sviewfields","Campos visibles y orden","Visible fields and order","Campos visíveis e ordem",
"di8_index","sresxpage","Resultados por página","Results by page","Resultados por página",
"di8_index","stotallevels","Seleccione los niveles de totalización","Select levels to be totalled","Selecione os níveis de totalização",
"di8_index","dorderby","Ordenar por","Order by","Ordenar por",
"di8_index","dserial","Serial","Serial","Serial",
"di8_index","ddeg","Fecha, Tipo de evento, Geografía","Date, Type of event, Geography","Data, Evento, Geografia",
"di8_index","ddge","Fecha, Geografia, Tipo de evento","Date, Geography, Type of event","Data, Geografia, Evento",
"di8_index","dged","Geografia, Tipo de evento, Fecha","Geography, Type of event, Date","Geografia, Evento, Data",
"di8_index","dedg","Tipo de evento, Fecha, Geografía","Type of event, Date, Geography","Evento, Data, Geografia",
"di8_index","dcreation","Fecha de creación Fichas","Creation date data card","Data criação Formulários",
"di8_index","dlastupd","Ultima actualización Fichas","Last update data card","Última atualização Formulários",
