"CauseId","CauseRGBColor","CauseKeyWords","CauseCreationDate","CauseLastUpdate","CauseName(spa)","CauseName(Eng)","CauseName(Fre)","CauseName(Por)","CauseDesc(spa)","CauseDesc(Eng)","CauseDesc(Fre)","CauseDesc(Por)"
"RAIN","0879F0","LLUVIAS","2007-11-21 00:00:00",2008-01-01 00:00:00,"Lluvias","Rainfall","Les précipitations","Les précipitations","Precipitación pluvial. Como causa primaria o disparadora de inundaciones, avenidas torrenciales, deslizamientos, accidentes, etc. Palabras claves: aguacero, chaparrón, chubasco, diluvio, páramo, turbonada.","Pluvial precipitation. Primary cause or catalyst of floods, flash floods, landslides, accidents, etc. Key words: storm, deluge, cloudburst, downpour, showers.","Pluvial precipitation. Primary cause or catalyst of floods, flash floods, landslides, accidents, etc. Key words: storm, deluge, cloudburst, downpour, showers.","Pluvial precipitation. Primary cause or catalyst of floods, flash floods, landslides, accidents, etc. Key words: storm, deluge, cloudburst, downpour, showers."
"FOG","DC71C1","NEBLINA","2007-11-21 00:00:00",2008-01-01 00:00:00,"Neblina","Fog","Brouillard","Brouillard","Masas de nubes que descienden hasta o desde la superficie terrestre. Implica perdida de visibilidad. Como causa de accidentes. Palabras claves: Niebla.","Cloud banks which descend to or rise from the earth surface. Implies loss of visibility. Cause of accidents. Key words: mist.","Cloud banks which descend to or rise from the earth surface. Implies loss of visibility. Cause of accidents. Key words: mist.","Cloud banks which descend to or rise from the earth surface. Implies loss of visibility. Cause of accidents. Key words: mist."
"NEGLIGENCE","538286","NEGLIGENCIA","2007-11-21 00:00:00",2008-01-01 00:00:00,"Negligencia","Negligence","Négligence","Négligence","Acción u omisión de acciones que desencadenan consecuencias adversas para un individuo o comunidad. Imputable a personas en ejercicio de poder, organismos o instituciones, gubernamentales, no gubernamentales o privadas. Aplicable a desastres en los cuales la principal causa identificada es la negligencia de responsables bien definidos en actividades de prestación de servicios básicos, o de prevención y de mitigación específicamente identificadas con anterioridad.","Action or omission which triggers adverse consequences for an individual or community. Attributable to persons who exercise power, governmental, non-governmental or private institutions or entities. Applies to disasters where the principal cause identified is negligence by those responsible, either in the provision of basic services or by failure to prevent or mitigate activities specifically identified prior to the event.","Action or omission which triggers adverse consequences for an individual or community. Attributable to persons who exercise power, governmental, non-governmental or private institutions or entities. Applies to disasters where the principal cause identified is negligence by those responsible, either in the provision of basic services or by failure to prevent or mitigate activities specifically identified prior to the event.","Action or omission which triggers adverse consequences for an individual or community. Attributable to persons who exercise power, governmental, non-governmental or private institutions or entities. Applies to disasters where the principal cause identified is negligence by those responsible, either in the provision of basic services or by failure to prevent or mitigate activities specifically identified prior to the event."
"OTHER","81C600","OTRACAUSA","2007-11-21 00:00:00",2008-01-01 00:00:00,"Otra causa","Other","Autre","Autre","Se debe usar sólo cuando la causa no está definida en la lista de -causas oficiales- de DesInventar. Se debe realizar una descripción de la misma. Si es una causa frecuente en su inventario y no se puede incluir en ninguna de las predefinidas, puede crearla como una nueva causa.","This term should be used only when the cause remains undefined in the list of –official causes- of DesInventar. A description should be provided of the same. If it is a frequent cause in the inventory and may not be included in any of the predefined causes, a new cause should be defined.","This term should be used only when the cause remains undefined in the list of –official causes- of DesInventar. A description should be provided of the same. If it is a frequent cause in the inventory and may not be included in any of the predefined causes, a new cause should be defined.","This term should be used only when the cause remains undefined in the list of –official causes- of DesInventar. A description should be provided of the same. If it is a frequent cause in the inventory and may not be included in any of the predefined causes, a new cause should be defined."
"PLAGUE","B94638"," ","2007-11-21 00:00:00",2008-01-01 00:00:00,"Plaga","Plagues","Plagues","Plagues","Proliferación de organismos que afectan a comunidades, a la agricultura, a la ganadería o a bienes perecederos almacenados. Como causa de epidemias, contaminación, etc.","Proliferation of organisms which affect communities, agriculture, livestock or fishing goods. Cause of epidemics, contamination, etc.","Proliferation of organisms which affect communities, agriculture, livestock or fishing goods. Cause of epidemics, contamination, etc.","Proliferation of organisms which affect communities, agriculture, livestock or fishing goods. Cause of epidemics, contamination, etc."
"DROUGHT","DF202F","SEQUIA","2007-11-21 00:00:00",2008-01-01 00:00:00,"Sequía","Drought","Touchés par la sécheresse","Touchés par la sécheresse","Temporada seca, sin lluvias, o con déficit de lluvias. Como causa de incendios forestales, biológico (pérdida o migración masiva de animales).","Period of dryness, without rainfall or insufficient rainfall. Cause of forest fires, biological migration or loss.","Period of dryness, without rainfall or insufficient rainfall. Cause of forest fires, biological migration or loss.","Period of dryness, without rainfall or insufficient rainfall. Cause of forest fires, biological migration or loss."
"EARTHQUAKE","9DCC8A","SISMO","2007-11-21 00:00:00",2008-01-01 00:00:00,"Sismo","Earthquake","Tremblement de terre","Tremblement de terre","Sacudidas bruscas del terreno causadas por el movimiento de las placas tectónicas. Como generador de tsunami, deslizamiento, licuación, avenidas torrencial, colapso estructural, incendio, explosión, accidente, cambio en la línea de costa, etc. Palabras claves: terremoto, movimiento telúrico, temblor, terremoto, tremor, seismo.","Abrupt shaking of the earth caused by movement of tectonic plates. Generates tsunami, landslides, melting, flash floods, structural collapse, fire, explosion, accidents, change in coastline, etc. Key words: tremor, quake, upheaval.","Abrupt shaking of the earth caused by movement of tectonic plates. Generates tsunami, landslides, melting, flash floods, structural collapse, fire, explosion, accidents, change in coastline, etc. Key words: tremor, quake, upheaval.","Abrupt shaking of the earth caused by movement of tectonic plates. Generates tsunami, landslides, melting, flash floods, structural collapse, fire, explosion, accidents, change in coastline, etc. Key words: tremor, quake, upheaval."
"DEFORESTATION","D4B18A","TALA","2007-11-21 00:00:00",2008-01-01 00:00:00,"Tala","Logging","Exploitation forestière","Exploitation forestière","Equivalente a deforestación. Como causa de inundaciones, deslizamientos, biológico, etc.","Equivalent to deforestation. Cause of flooding, landslides, biological migration or loss, etc.","Equivalent to deforestation. Cause of flooding, landslides, biological migration or loss, etc.","Equivalent to deforestation. Cause of flooding, landslides, biological migration or loss, etc."
"STORM","4284F0","TEMPESTAD","2007-11-21 00:00:00",2008-01-01 00:00:00,"Tempestad","Storm","Storm","Storm","Lluvia acompañada de vientos fuertes y/o de descargas eléctricas. Como causa de inundaciones.","Rain, accompanied by strong winds and/or electrical discharge. Cause of flooding.","Rain, accompanied by strong winds and/or electrical discharge. Cause of flooding.","Rain, accompanied by strong winds and/or electrical discharge. Cause of flooding."
"STRONGWIND","145830","VENDAVAL","2007-11-21 00:00:00",2008-01-01 00:00:00,"Vendaval","Gale","Gale","Gale","Perturbación atmosférica que genera vientos fuertes y destructivos, generalmente sin lluvia. Como causa de deslizamientos. Palabras claves: temporal, vientos huracanados, torbellinos, borrasca, viento fuerte, ventisca, tromba, ráfaga, racha.","Atmospheric disturbance which generates strong, destructive winds, normally without rain. Cause of landslides. Key words: wind, strong wind, hurricane, whirlwind, squall, blizzard, typhoon, gust.       ","Atmospheric disturbance which generates strong, destructive winds, normally without rain. Cause of landslides. Key words: wind, strong wind, hurricane, whirlwind, squall, blizzard, typhoon, gust.       ","Atmospheric disturbance which generates strong, destructive winds, normally without rain. Cause of landslides. Key words: wind, strong wind, hurricane, whirlwind, squall, blizzard, typhoon, gust.       "
